Date,Open,High,Low,Close,Adj Close,Volume,Day
2/10/2022,43.599998,45.648998,41.709999,42.099998,42.099998,24087900,0
2/11/2022,42.150002,42.555,38.939999,39.990002,39.990002,10544600,1
2/14/2022,39.98,40.990002,39.419998,39.990002,39.990002,5718400,2
2/15/2022,41,43.52,40.73,43.5,43.5,6474000,3
2/16/2022,43.009998,44.5,42.813,43.82,43.82,7198400,4
2/17/2022,43.16,43.959999,42.369999,42.900002,42.900002,4367400,5
2/18/2022,42.900002,43.110001,41.040001,41.259998,41.259998,5786900,6
2/22/2022,40.84,41.380001,37.82,38.880001,38.880001,9340500,7
2/23/2022,39.240002,39.584999,37.290001,37.43,37.43,5046000,8
2/24/2022,34.82,38.805,34.575001,38.77,38.77,8756600,9
2/25/2022,39.150002,39.200001,37.639999,38.610001,38.610001,6208500,10
2/28/2022,38.150002,39.43,37.919998,38.939999,38.939999,6901400,11
3/1/2022,38.509998,38.610001,36.52,37.68,37.68,5937400,12
3/2/2022,38.049999,39.07,37.459999,38.93,38.93,4479200,13
3/3/2022,38.939999,39.400002,36.57,36.98,36.98,4316000,14
3/4/2022,36.459999,37.080002,34.700001,35.279999,35.279999,7619000,15
3/7/2022,36.919998,38.07,34.439999,34.48,34.48,8673500,16
3/8/2022,34.400002,37.740002,34.130001,36.540001,36.540001,8070900,17
3/9/2022,38.009998,39.43,37.470001,37.799999,37.799999,7336400,18
3/10/2022,36.830002,37.950001,36.610001,37.630001,37.630001,3869200,19
3/11/2022,38.07,38.389999,37.18,37.25,37.25,2798800,20
3/14/2022,37.060001,37.075001,35.080002,35.389999,35.389999,5478600,21
3/15/2022,35.75,36.98,34.959999,35.740002,35.740002,6629500,22
3/16/2022,36.759998,37.900002,36.209999,37.860001,37.860001,6779300,23
3/17/2022,37.849998,37.91,36.615002,37.790001,37.790001,4810800,24
3/18/2022,37.610001,38.68,37.529999,38.619999,38.619999,5562000,25
3/21/2022,37.91,38,36.220001,36.849998,36.849998,5596700,26
3/22/2022,37.139999,38.611,36.869999,38.25,38.25,4818500,27
3/23/2022,37.98,38.740002,37.529999,38.43,38.43,5154000,28
3/24/2022,38.43,39.016998,37.119999,38.98,38.98,4886400,29
3/25/2022,39,39,37.209999,37.509998,37.509998,3394200,30
3/28/2022,37.540001,37.830002,36.5,37.59,37.59,4280200,31
3/29/2022,38.040001,40.459,38.040001,40.16,40.16,7119000,32
3/30/2022,39.75,40,38.215,38.650002,38.650002,3777200,33
3/31/2022,38.799999,38.959999,37.630001,38.400002,38.400002,4736200,34
4/1/2022,38.400002,38.900002,37.240002,37.52,37.52,4260500,35
4/4/2022,37.93,39.310001,37.66,38.959999,38.959999,3527000,36
4/5/2022,38.98,39.130001,37.029999,37.150002,37.150002,4198700,37
4/6/2022,36.380001,36.509998,34.889999,36.080002,36.080002,6662400,38
4/7/2022,36.09,36.220001,33.599998,34.610001,34.610001,6403800,39
4/8/2022,34.195,34.5,33.369999,33.59,33.59,4705300,40
4/11/2022,32.93,34.029999,32.349998,33.32,33.32,4052400,41
4/12/2022,33.619999,34.389999,33.130001,33.450001,33.450001,3880500,42
4/13/2022,33.560001,34.939999,33.403,34.799999,34.799999,4059200,43
4/14/2022,35.060001,36.099998,34.77,35.540001,35.540001,5632500,44
4/18/2022,35.290001,35.650002,34.384998,34.610001,34.610001,3041000,45
4/19/2022,34.959999,36.43,34.855,36.310001,36.310001,3967100,46
4/20/2022,36.5,36.790001,35.611,35.700001,35.700001,3289300,47
4/21/2022,36.59,36.919998,33.970001,34.110001,34.110001,6109200,48
4/22/2022,34.139999,34.57,32.869999,33.16,33.16,3653200,49
4/25/2022,32.849998,34.119999,32.709999,33.91,33.91,5292700,50
4/26/2022,33.360001,33.740002,32.400002,32.450001,32.450001,4226700,51
4/27/2022,32.07,33,31.52,32.23,32.23,4989000,52
4/28/2022,32.900002,33.830002,31.879999,33.560001,33.560001,4543900,53
4/29/2022,33.259998,34.355,32.560001,32.599998,32.599998,4723100,54
5/2/2022,32.259998,32.525002,29.93,31.5,31.5,11738200,55
